fin,url
särki,https://mappa.fi/lajikortit/sarki/?referrer=aWQ9NTEwNjM
hauki,https://mappa.fi/lajikortit/hauki/?referrer=aWQ9NTEwNjM
ahven,https://mappa.fi/lajikortit/ahven/?referrer=aWQ9NTEwNjM
kolmipiikki,https://mappa.fi/lajikortit/kolmipiikki/?referrer=aWQ9NTEwNjM
metsähiiri,https://mappa.fi/lajikortit/metsahiiri/?referrer=aWQ9NTEwNjM
rotta,https://mappa.fi/lajikortit/rotta/?referrer=aWQ9NTEwNjM
metsämyyrä,https://mappa.fi/lajikortit/metsamyyra/?referrer=aWQ9NTEwNjM
orava,https://mappa.fi/lajikortit/orava/?referrer=aWQ9NTEwNjM
liito-orava,https://mappa.fi/lajikortit/liito-orava/?referrer=aWQ9NTEwNjM
siili,https://mappa.fi/lajikortit/siili/?referrer=aWQ9NTEwNjM
päästäiset,https://mappa.fi/lajikortit/paastaiset/?referrer=aWQ9NTEwNjM
lepakot,https://mappa.fi/lajikortit/lepakot/?referrer=aWQ9NTEwNjM
kettu,https://mappa.fi/lajikortit/kettu/?referrer=aWQ9NTEwNjM
saukko,https://mappa.fi/lajikortit/saukko/?referrer=aWQ9NTEwNjM
hirvi,https://mappa.fi/lajikortit/hirvi/?referrer=aWQ9NTEwNjM
metsäkauris,https://mappa.fi/lajikortit/metsakauris/?referrer=aWQ9NTEwNjM
valkohäntäkauris,https://mappa.fi/lajikortit/valkohantakauris/?referrer=aWQ9NTEwNjM
poro,https://mappa.fi/lajikortit/peura/?referrer=aWQ9NTEwNjM
rusakko,https://mappa.fi/lajikortit/rusakko/?referrer=aWQ9NTEwNjM
metsäjänis,https://mappa.fi/lajikortit/metsajanis/?referrer=aWQ9NTEwNjM
sokeritoukka,https://mappa.fi/lajikortit/sokeritoukka/?referrer=aWQ9NTEwNjM
sudenkorennot,https://mappa.fi/lajikortit/sudenkorennot/?referrer=aWQ9NTEwNjM
isopihtihäntä,https://mappa.fi/lajikortit/isopihtihanta/?referrer=aWQ9NTEwNjM
hepokatit,https://mappa.fi/lajikortit/hepokatit/?referrer=aWQ9NTEwNjM
heinäsirkat,https://mappa.fi/lajikortit/heinasirkat/?referrer=aWQ9NTEwNjM
torakat,https://mappa.fi/lajikortit/torakat/?referrer=aWQ9NTEwNjM
vesimittarit,https://mappa.fi/lajikortit/vesimittarit/?referrer=aWQ9NTEwNjM
marjalude,https://mappa.fi/lajikortit/marjalude/?referrer=aWQ9NTEwNjM
viherlude,https://mappa.fi/lajikortit/viherlude/?referrer=aWQ9NTEwNjM
kaalilude,https://mappa.fi/lajikortit/kaalilude/?referrer=aWQ9NTEwNjM
pyjamalude,https://mappa.fi/lajikortit/pyjamalude/?referrer=aWQ9NTEwNjM
ampiaiset,https://mappa.fi/lajikortit/ampiaiset/?referrer=aWQ9NTEwNjM
kekomuurahaiset,https://mappa.fi/lajikortit/kekomuurahaiset/?referrer=aWQ9NTEwNjM
tarhamehiläinen,https://mappa.fi/lajikortit/tarhamehilainen-kesymehilainen-hunajamehilainen/?referrer=aWQ9NTEwNjM
mantukimalaisen kaltaiset,https://mappa.fi/lajikortit/mantukimalaisen-kaltaiset/?referrer=aWQ9NTEwNjM
kivikkokimalaisen kaltaiset,https://mappa.fi/lajikortit/kivikkokimalaisen-kaltaiset/?referrer=aWQ9NTEwNjM
kartanokimalaisen kaltaiset,https://mappa.fi/lajikortit/kartanokimalaisen-kaltaiset/?referrer=aWQ9NTEwNjM
peltokimalaisen kaltaiset,https://mappa.fi/lajikortit/peltokimalaisen-kaltaiset/?referrer=aWQ9NTEwNjM
pihaharsokorento,https://mappa.fi/lajikortit/pihaharsokorento/?referrer=aWQ9NTEwNjM
turkkilot,https://mappa.fi/lajikortit/turkkilot/?referrer=aWQ9NTEwNjM
metsäsittiäinen,https://mappa.fi/lajikortit/metsasittiainen/?referrer=aWQ9NTEwNjM
kimalaiskuoriainen,https://mappa.fi/lajikortit/kimalaiskuoriainen/?referrer=aWQ9NTEwNjM
kiiltomato,https://mappa.fi/lajikortit/kiiltomato/?referrer=aWQ9NTEwNjM
vyöihrakuoriainen,https://mappa.fi/lajikortit/vyoihrakuoriainen/?referrer=aWQ9NTEwNjM
seitsenpistepirkko,https://mappa.fi/lajikortit/seitsenpistepirkko/?referrer=aWQ9NTEwNjM
kaksipistepirkko,https://mappa.fi/lajikortit/kaksipistepirkko/?referrer=aWQ9NTEwNjM
nelivyöjäärä,https://mappa.fi/lajikortit/nelivyojaara/?referrer=aWQ9NTEwNjM
sarvijaakko,https://mappa.fi/lajikortit/sarvijaakko/?referrer=aWQ9NTEwNjM
putkikärsäkäs,https://mappa.fi/lajikortit/putkikarsakas/?referrer=aWQ9NTEwNjM
tuomenkehrääjäkoi,https://mappa.fi/lajikortit/51122/?referrer=aWQ9NTEwNjM
ritariperhonen,https://mappa.fi/lajikortit/ritariperhonen/?referrer=aWQ9NTEwNjM
lauhahiipijä,https://mappa.fi/lajikortit/lauhahiipija/?referrer=aWQ9NTEwNjM
piippopaksupää,https://mappa.fi/lajikortit/piippopaksupaa/?referrer=aWQ9NTEwNjM
auroraperhonen,https://mappa.fi/lajikortit/auroraperhonen/?referrer=aWQ9NTEwNjM
lanttuperhonen,https://mappa.fi/lajikortit/lanttuperhonen/?referrer=aWQ9NTEwNjM
suokeltaperhonen,https://mappa.fi/lajikortit/suokeltaperhonen/?referrer=aWQ9NTEwNjM
sitruunaperhonen,https://mappa.fi/lajikortit/sitruunaperhonen/?referrer=aWQ9NTEwNjM
hopeatäplät,https://mappa.fi/lajikortit/hopeataplat/?referrer=aWQ9NTEwNjM
karttaperhonen,https://mappa.fi/lajikortit/karttaperhonen/?referrer=aWQ9NTEwNjM
amiraali,https://mappa.fi/lajikortit/amiraali/?referrer=aWQ9NTEwNjM
ohdakeperhonen,https://mappa.fi/lajikortit/ohdakeperhonen/?referrer=aWQ9NTEwNjM
neitoperhonen,https://mappa.fi/lajikortit/neitoperhonen/?referrer=aWQ9NTEwNjM
nokkosperhonen,https://mappa.fi/lajikortit/nokkosperhonen-2/?referrer=aWQ9NTEwNjM
suruvaippa,https://mappa.fi/lajikortit/51136/?referrer=aWQ9NTEwNjM
herukkaperhonen,https://mappa.fi/lajikortit/herukkaperhonen/?referrer=aWQ9NTEwNjM
tesmaperhonen,https://mappa.fi/lajikortit/tesmaperhonen-2/?referrer=aWQ9NTEwNjM
sinisiivet,https://mappa.fi/lajikortit/sinisiivet/?referrer=aWQ9NTEwNjM
kultasiivet,https://mappa.fi/lajikortit/kultasiivet/?referrer=aWQ9NTEwNjM
kangasperhonen,https://mappa.fi/lajikortit/kangasperhonen/?referrer=aWQ9NTEwNjM
hirvikärpänen,https://mappa.fi/lajikortit/hirvikarpanen/?referrer=aWQ9NTEwNjM
mäkärät,https://mappa.fi/lajikortit/makarat/?referrer=aWQ9NTEwNjM
hyttyset,https://mappa.fi/lajikortit/hyttyset/?referrer=aWQ9NTEwNjM
puutiainen,https://mappa.fi/lajikortit/puutiainen/?referrer=aWQ9NTEwNjM
rantahämähäkki,https://mappa.fi/lajikortit/raitarannakki/?referrer=aWQ9NTEwNjM
